epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.39724,1.69702,2.64637,1.17371,0.6507,0.78548,0.65186,0.41297,1.2704,1.42317,0.97056,0.000552339,0.000552339,0.000552339
2,11.3904,1.32355,1.35905,1.04749,0.85111,0.97826,0.95062,0.62649,1.09828,1.06173,1.02835,0.00109704,0.00109704,0.00109704
3,16.053,1.2219,1.15392,1.01102,0.96149,0.96141,0.97933,0.63155,1.1056,0.94973,1.04341,0.00163073,0.00163073,0.00163073
4,20.6825,1.18473,1.0025,1.02226,0.97691,0.95773,0.98317,0.62692,1.06653,0.94461,1.0276,0.00161749,0.00161749,0.00161749
5,25.2906,1.11794,0.913,0.98994,0.93496,0.95652,0.95837,0.62637,1.10473,0.88801,1.03209,0.00160099,0.00160099,0.00160099
6,30.172,1.13632,0.83526,0.98751,0.94094,1,0.98775,0.65891,1.16413,0.83041,1.06808,0.00158448,0.00158448,0.00158448
7,34.7823,1.12111,0.84552,0.99637,0.96434,0.96678,0.98006,0.63241,1.17158,0.84758,1.0748,0.00156798,0.00156798,0.00156798
8,39.3871,1.02689,0.82119,0.93845,0.93926,0.99717,0.98588,0.66629,1.0701,0.76857,1.01459,0.00155148,0.00155148,0.00155148
9,44.0333,1.04674,0.78273,0.96341,0.95829,0.99791,0.98981,0.68867,1.05225,0.692,1.02008,0.00153497,0.00153497,0.00153497
10,48.9224,1.03269,0.71288,0.96272,0.95449,1,0.98674,0.67196,1.03774,0.66968,1.00069,0.00151847,0.00151847,0.00151847
11,53.7487,1.01958,0.7061,0.96739,0.94146,0.99379,0.98794,0.6982,1.02521,0.64386,1.00532,0.00150197,0.00150197,0.00150197
12,58.7716,1.03757,0.65875,0.96013,0.95915,0.99977,0.98556,0.68573,1.02738,0.63155,1.0021,0.00148546,0.00148546,0.00148546
13,63.8153,1.0334,0.65915,0.95926,0.96749,0.99808,0.99148,0.68697,1.03215,0.62707,0.99391,0.00146896,0.00146896,0.00146896
14,68.5459,1.01159,0.6225,0.94436,0.97099,0.96689,0.99024,0.71088,1.02266,0.59627,1.01063,0.00145246,0.00145246,0.00145246
15,73.5275,1.01617,0.62095,0.94949,0.96482,0.95652,0.98852,0.68982,1.01773,0.58116,1.00277,0.00143595,0.00143595,0.00143595
16,78.2128,1.01939,0.64934,0.94459,0.95165,1,0.99037,0.71162,0.9842,0.57935,0.98209,0.00141945,0.00141945,0.00141945
17,82.9509,0.97058,0.62957,0.94232,0.95712,1,0.99098,0.7035,1.01322,0.6237,0.9915,0.00140295,0.00140295,0.00140295
18,87.8092,0.9852,0.5883,0.93785,0.95769,1,0.98884,0.7124,0.97225,0.55208,0.99333,0.00138644,0.00138644,0.00138644
19,92.646,0.96286,0.58936,0.95148,0.95569,1,0.98665,0.6874,1.02714,0.57827,1.01158,0.00136994,0.00136994,0.00136994
20,97.3416,0.9849,0.59051,0.92991,0.9634,0.94653,0.98973,0.73697,0.94939,0.54485,0.97301,0.00135344,0.00135344,0.00135344
21,102.229,1.0391,0.58258,0.95869,0.95148,0.95652,0.99204,0.70557,0.98453,0.59839,0.98844,0.00133693,0.00133693,0.00133693
22,106.878,0.97447,0.55932,0.95521,0.95765,1,0.98994,0.71291,1.01266,0.5462,0.99685,0.00132043,0.00132043,0.00132043
23,111.462,0.93889,0.54145,0.92345,0.96409,0.99057,0.99042,0.70613,1.01702,0.54931,0.99311,0.00130393,0.00130393,0.00130393
24,116.212,0.90679,0.52653,0.92684,0.98819,0.95514,0.98169,0.69554,1.02231,0.52049,0.99067,0.00128742,0.00128742,0.00128742
25,121.015,0.90069,0.51459,0.91996,0.93462,0.99484,0.9877,0.70978,0.97283,0.51709,0.97062,0.00127092,0.00127092,0.00127092
